"Cultivar","Trial","Replicate","Toxin"
"Hative Des Alpes","T1","R1",20
"Hative Des Alpes","T1","R2",20
"Hative Des Alpes","T2","R3",20
"Hative Des Alpes","T2","R4",20
"Hen Gardie","T1","R1",94.2
"Hen Gardie","T1","R2",143.45
"Hen Gardie","T2","R3",26.4
"Hen Gardie","T2","R4",56.85
"H marik","T1","R1",93
"H marik","T1","R2",68
"H marik","T2","R3",82.25
"H marik","T2","R4",137.7
"J geva Agu","T1","R1",299.3
"J geva Agu","T1","R2",25.55
"J geva Agu","T2","R3",20.25
"J geva Agu","T2","R4",152
"J geva koidukaer","T1","R1",381.8
"J geva koidukaer","T1","R2",272.65
"J geva koidukaer","T2","R3",22.9
"J geva koidukaer","T2","R4",20
"Kent Berlie","T1","R1",1000
"Kent Berlie","T1","R2",1000
"Kent Berlie","T2","R3",154.85
"Kent Berlie","T2","R4",137.05
"Kentucky","T1","R1",20
"Kentucky","T1","R2",21.2
"Kentucky","T2","R3",22.9
"Kentucky","T2","R4",20
"Karcagi","T1","R1",112.75
"Karcagi","T1","R2",20
"Karcagi","T2","R3",20
"Karcagi","T2","R4",20
"Kecskemeti tf","T1","R1",25.25
"Kecskemeti tf","T1","R2",91
"Kecskemeti tf","T2","R3",21
"Kecskemeti tf","T2","R4",20
"Keszthelyi Tf","T1","R1",117.8
"Keszthelyi Tf","T1","R2",46.6
"Keszthelyi Tf","T2","R3",34.9
"Keszthelyi Tf","T2","R4",20
"Krezus","T1","R1",24.55
"Krezus","T1","R2",96.05
"Krezus","T2","R3",236.4
"Krezus","T2","R4",225.3
"Kwant","T1","R1",20
"Kwant","T1","R2",20
"Kwant","T2","R3",20
"Kwant","T2","R4",20
"Lennon","T1","R1",358.85
"Lennon","T1","R2",1000
"Lennon","T2","R3",20
"Lennon","T2","R4",20
"Lipoplus","T1","R1",55.75
"Lipoplus","T1","R2",317.95
"Lipoplus","T2","R3",47.35
"Lipoplus","T2","R4",35.05
"Lovaszpatonai sarga","T1","R1",20
"Lovaszpatonai sarga","T1","R2",40.9
"Lovaszpatonai sarga","T2","R3",20
"Lovaszpatonai sarga","T2","R4",20
"Minue","T1","R1",20
"Minue","T1","R2",20
"Minue","T2","R3",56.4
"Minue","T2","R4",20
"Mersevati tf","T1","R1",20
"Mersevati tf","T1","R2",20
"Mersevati tf","T2","R3",52.6
"Mersevati tf","T2","R4",20
"Miku","T1","R1",98.6
"Miku","T1","R2",278.45
"Miku","T2","R3",20
"Miku","T2","R4",20
"Mocsai tf","T1","R1",20
"Mocsai tf","T1","R2",282.7
"Mocsai tf","T2","R3",20
"Mocsai tf","T2","R4",20
"Monostorpalyi tf","T1","R1",154.4
"Monostorpalyi tf","T1","R2",35.4
"Monostorpalyi tf","T2","R3",20
"Monostorpalyi tf","T2","R4",20
"Nidar","T1","R1",58.2
"Nidar","T1","R2",60.7
"Nidar","T2","R3",35.65
"Nidar","T2","R4",20
"Nagyredei tf","T1","R1",35.4
"Nagyredei tf","T1","R2",20
"Nagyredei tf","T2","R3",20
"Nagyredei tf","T2","R4",28.5
"Nidar I","T1","R1",76.5
"Nidar I","T1","R2",22
"Nidar I","T2","R3",20
"Nidar I","T2","R4",21.55
"Nidar Ii","T1","R1",159.8
"Nidar Ii","T1","R2",192
"Nidar Ii","T2","R3",20
"Nidar Ii","T2","R4",291.65
"Pocspetri tf","T1","R1",25
"Pocspetri tf","T1","R2",50.05
"Pocspetri tf","T2","R3",147.25
"Pocspetri tf","T2","R4",132.3
"Polar","T1","R1",20.6
"Polar","T1","R2",20
"Polar","T2","R3",20
"Polar","T2","R4",23.3
"Pusztafoldvari tf","T1","R1",34.95
"Pusztafoldvari tf","T1","R2",91.95
"Pusztafoldvari tf","T2","R3",20
"Pusztafoldvari tf","T2","R4",20
"Ranch","T1","R1",327.15
"Ranch","T1","R2",89.45
"Ranch","T2","R3",58
"Ranch","T2","R4",28.3
"Ravazdi tf","T1","R1",310.45
"Ravazdi tf","T1","R2",188.95
"Ravazdi tf","T2","R3",25
"Ravazdi tf","T2","R4",84.05
"Sandy","T1","R1",203.75
"Sandy","T1","R2",43.3
"Sandy","T2","R3",93.15
"Sandy","T2","R4",49.55
"Starlette De Moyencourt","T1","R1",25.1
"Starlette De Moyencourt","T1","R2",41.85
"Starlette De Moyencourt","T2","R3",47.85
"Starlette De Moyencourt","T2","R4",164.15
"SW Betania","T1","R1",50.1
"SW Betania","T1","R2",20
"SW Betania","T2","R3",196.4
"SW Betania","T2","R4",187.6
"SW Ingleborg","T1","R1",34.1
"SW Ingleborg","T1","R2",153.05
"SW Ingleborg","T2","R3",1000
"SW Ingleborg","T2","R4",843.75
"Sam","T1","R1",20
"Sam","T1","R2",21.05
"Sam","T2","R3",20
"Sam","T2","R4",20
"Sang","T1","R1",80.35
"Sang","T1","R2",21.2
"Sang","T2","R3",342.35
"Sang","T2","R4",385.1
"Stoper","T1","R1",22.05
"Stoper","T1","R2",70.6
"Stoper","T2","R3",20
"Stoper","T2","R4",21.05
"Szegedi","T1","R1",20
"Szegedi","T1","R2",79.35
"Szegedi","T2","R3",189.1
"Szegedi","T2","R4",26.95
"Szeremlei tf","T1","R1",43.5
"Szeremlei tf","T1","R2",20
"Szeremlei tf","T2","R3",20
"Szeremlei tf","T2","R4",36.1
"Tam Finlay","T1","R1",297.5
"Tam Finlay","T1","R2",440.75
"Tam Finlay","T2","R3",116.05
"Tam Finlay","T2","R4",111.9
"Taplanszent Kereszti","T1","R1",74.65
"Taplanszent Kereszti","T1","R2",205.4
"Taplanszent Kereszti","T2","R3",1000
"Taplanszent Kereszti","T2","R4",875.8
"Ujszegedi","T1","R1",97.65
"Ujszegedi","T1","R2",191.7
"Ujszegedi","T2","R3",28.5
"Ujszegedi","T2","R4",20
"Ungarischer","T1","R1",185.55
"Ungarischer","T1","R2",106.65
"Ungarischer","T2","R3",130.85
"Ungarischer","T2","R4",178.15
"Urai tf","T1","R1",181.2
"Urai tf","T1","R2",221.1
"Urai tf","T2","R3",30
"Urai tf","T2","R4",25
"White Superb","T1","R1",312.9
"White Superb","T1","R2",125.1
"White Superb","T2","R3",20
"White Superb","T2","R4",45.6
"Yukon","T1","R1",20
"Yukon","T1","R2",20
"Yukon","T2","R3",20
"Yukon","T2","R4",22.3
"Zalalovoi tf","T1","R1",20
"Zalalovoi tf","T1","R2",94.6
"Zalalovoi tf","T2","R3",23.1
"Zalalovoi tf","T2","R4",20
"Zuch","T1","R1",161.1
"Zuch","T1","R2",68.55
"Zuch","T2","R3",28.8
"Zuch","T2","R4",141.1
"Zuton","T1","R1",20
"Zuton","T1","R2",20
"Zuton","T2","R3",20
"Zuton","T2","R4",20
"Black","T1","R1",177.6
"Black","T1","R2",309.05
"Black","T2","R3",20
"Black","T2","R4",27.25
"Briddle","T1","R1",130.05
"Briddle","T1","R2",21.55
"Briddle","T2","R3",21
"Briddle","T2","R4",20
"Cory","T1","R1",27.75
"Cory","T1","R2",100.15
"Cory","T2","R3",47.15
"Cory","T2","R4",79.65
"Daisy","T1","R1",51.8
"Daisy","T1","R2",438.6
"Daisy","T2","R3",68.15
"Daisy","T2","R4",23.05
"Florale","T1","R1",216.7
"Florale","T1","R2",29.75
"Florale","T2","R3",20
"Florale","T2","R4",25
"Integrale","T1","R1",548.6
"Integrale","T1","R2",83.75
"Integrale","T2","R3",97.7
"Integrale","T2","R4",91.75
"Jump","T1","R1",20
"Jump","T1","R2",35.25
"Jump","T2","R3",78.5
"Jump","T2","R4",88.3
"Noirine","T1","R1",69.75
"Noirine","T1","R2",88.55
"Noirine","T2","R3",20
"Noirine","T2","R4",28.4
"Orana","T1","R1",20
"Orana","T1","R2",290.45
"Orana","T2","R3",20
"Orana","T2","R4",20
"Orfine","T1","R1",48.6
"Orfine","T1","R2",113.1
"Orfine","T2","R3",20
"Orfine","T2","R4",89.1
"Poretto","T1","R1",146
"Poretto","T1","R2",149.9
"Poretto","T2","R3",66.3
"Poretto","T2","R4",42.2
"Tenebra","T1","R1",20
"Tenebra","T1","R2",20
"Tenebra","T2","R3",20
"Tenebra","T2","R4",20
"White","T1","R1",20
"White","T1","R2",77.15
"White","T2","R3",37.35
"White","T2","R4",30.45
"Gordon","T1","R1",280
"Gordon","T1","R2",378.85
"Gordon","T2","R3",20
"Gordon","T2","R4",20
"Tempo","T1","R1",33
"Tempo","T1","R2",20
"Tempo","T2","R3",61
"Tempo","T2","R4",63.3
"Glasnevin Triumph","T1","R1",287.45
"Glasnevin Triumph","T1","R2",53.9
"Glasnevin Triumph","T2","R3",168.8
"Glasnevin Triumph","T2","R4",20
"Glasnevin Major","T1","R1",210.8
"Glasnevin Major","T1","R2",175.1
"Glasnevin Major","T2","R3",54.9
"Glasnevin Major","T2","R4",24.2
"Potato","T1","R1",103.8
"Potato","T1","R2",402.6
"Potato","T2","R3",625.85
"Potato","T2","R4",1000
"Avesta","T1","R1",20.95
"Avesta","T1","R2",85.15
"Avesta","T2","R3",50
"Avesta","T2","R4",32.6
"Ayr Ally","T1","R1",1000
"Ayr Ally","T1","R2",264.55
"Ayr Ally","T2","R3",376.3
"Ayr Ally","T2","R4",157.65
"Ayr Line","T1","R1",144.6
"Ayr Line","T1","R2",252.9
"Ayr Line","T2","R3",20
"Ayr Line","T2","R4",44.45
"BO54/33/14","T1","R1",22.3
"BO54/33/14","T1","R2",271.35
"BO54/33/14","T2","R3",235.4
"BO54/33/14","T2","R4",20
"Black rival NSGC USA","T1","R1",64.5
"Black rival NSGC USA","T1","R2",20
"Black rival NSGC USA","T2","R3",20
"Black rival NSGC USA","T2","R4",20
"Black spring","T1","R1",20
"Black spring","T1","R2",20
"Black spring","T2","R3",65.6
"Black spring","T2","R4",20
"Caffreys No 1","T1","R1",148.4
"Caffreys No 1","T1","R2",222.15
"Caffreys No 1","T2","R3",20
"Caffreys No 1","T2","R4",23.85
"Freddy","T1","R1",382.4
"Freddy","T1","R2",174.3
"Freddy","T2","R3",93.95
"Freddy","T2","R4",33.6
"Glasnevin Bonstar","T1","R1",379.75
